gem_tracker,gem_source_file,asset_group,gem_id,location_id,name,unit,capacity_mw,status,start_year,retired_year,fuel_type,technology,fuel_detail,captive_type,captive_use,is_captive,operator,owner,lat,lon,province_gem,ch4_reported,cmm_co2e_100,capacity_mtpa
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926521,L100000921531,Fuat wind farm,1,20,operating,2015,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Fuat Res Elektrik Üretim AS [100%],38.3465,27.5256,Izmir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926522,L100000921531,Fuat wind farm,2,14,operating,2017,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Fuat Res Elektrik Üretim AS [100%],38.3465,27.5256,Izmir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001057787,L100001050099,Gaia wind farm,--,61,pre-construction,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Enerjisa Energy Production Joint Stock Co,37.1258,28.6693,Muğla,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926523,L100000921532,Gazi-9 wind farm,--,67,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Sanko Enerji SAN TIC AS [100%],39.9076,26.7313,Çanakkale,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926524,L100000921533,Gaziosmanpasa wind farm,1,50,operating,2021,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Resistanbul Enerji AŞ [100%],41.2924,28.1993,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926525,L100000921533,Gaziosmanpasa wind farm,2,12.8,shelved - inferred 2 y,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Resistanbul Enerji AŞ [100%],41.2924,28.1993,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926526,L100000921534,Ge wind farm,--,28,operating,2014,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Ge Res Enerji Ür Tic AS [100%],39.203,27.9009,Manisa,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926527,L100000921535,Gelgit wind farm,--,50,cancelled,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Gelgit Yenilenebilir Enerji ve Elektrik Üretim AS [100%],41.1015,28.3479,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926528,L100000921536,Gelibolu (Rt) wind farm,--,30,operating,2021,NA,wind,Onshore,NA,NA,NA,FALSE,Sonses Energy Investment Production and Trade,RT Enerji [100%],40.2686,26.9066,Çanakkale,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926529,L100000921537,Gelibolu (Yelen) wind farm,--,11,operating,2020,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Yelen-gelibolu Enerji Üretim SAN VE TIC AS [100%],39.6351,26.4214,Çanakkale,NA,NA,NA
